qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	qlen	slen	qprot	sprot
Q12772_1	Q12772_1	100.0	49	0	0	2	50	1	49	5.31e-27	94.8	50	58	Q12772	Q12772
Q13469_1	Q13469_1	100.0	39	0	0	28	66	1	39	3.0000000000000003e-21	80.8	96	39	Q13469	Q13469
Q14209_1	Q14209_1	100.0	51	0	0	29	79	1	51	8.120000000000001e-29	102.0	79	51	Q14209	Q14209
Q15329_1	Q15329_1	100.0	48	0	0	10	57	1	48	1.1e-28	99.5	60	48	Q15329	Q15329
Q15596_1	Q15596_2	100.0	72	0	0	48	119	1	72	4.210000000000001e-43	146.0	122	72	Q15596	Q15596
Q16254_1	Q16254_1	100.0	68	0	0	5	72	1	68	5.1799999999999996e-42	138.0	77	68	Q16254	Q16254
Q16621_1	Q16621_1	100.0	47	0	0	119	165	1	47	7.639999999999999e-24	90.6	206	47	Q16621	Q16621
Q16665_1	Q16665_3	100.0	45	0	0	1	45	24	68	3.35e-26	94.0	45	87	Q16665	Q16665
Q8WYP5_1	Q8WYP5_2	100.0	147	0	0	33	179	1	147	1.26e-93	303.0	253	147	Q8WYP5	Q8WYP5
Q8WYP5_1	Q8WYP5_2	41.935	31	11	1	154	184	11	34	668.0	13.4	253	147	Q8WYP5	Q8WYP5
Q96BA8_1	Q96BA8_1	100.0	50	0	0	11	60	1	50	1.44e-26	97.3	60	87	Q96BA8	Q96BA8
Q96N77_1	Q96N77_2	100.0	24	0	0	1	24	18	41	4.3e-11	52.0	95	41	Q96N77	Q96N77
Q99814_1	Q99814_2	100.0	47	0	0	1	47	11	57	5.85e-28	98.6	47	76	Q99814	Q99814
Q99941_1	Q99941_1	100.0	80	0	0	6	85	1	80	1.39e-50	164.0	85	85	Q99941	Q99941
Q9H3D4_1	Q9H3D4_1	100.0	47	0	0	45	91	1	47	7.23e-28	100.0	107	47	Q9H3D4	Q9H3D4
Q9UBX2_1	Q9UBX2_1	100.0	59	0	0	40	98	1	59	2.1400000000000002e-29	105.0	98	59	Q9UBX2	Q9UBX2
Q9Y2N7_1	Q9Y2N7_1	100.0	53	0	0	1	53	11	63	6.99e-32	109.0	53	70	Q9Y2N7	Q9Y2N7
