qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	qlen	slen	qprot	sprot	short_cov
Q14494:440_464	Q14494_2	100.0	25.0	0	0	1	25	25	49	1.89e-12	52.4	25.0	82.0	Q14494	Q14494	1.0
Q15329:298_317	Q15329_1	100.0	20.0	0	0	1	20	3	22	3.22e-09	41.8	20.0	48.0	Q15329	Q15329	1.0
Q15424:178_193	Q15424_1	100.0	16.0	0	0	1	16	25	40	1.15e-06	34.1	16.0	141.0	Q15424	Q15424	1.0
Q16665:70_85	Q16665_1	100.0	14.0	0	0	3	16	1	14	0.000177	27.8	16.0	44.0	Q16665	Q16665	0.875
Q16665:523_538	Q16665_3	100.0	16.0	0	0	1	16	16	31	7.27e-07	34.6	16.0	87.0	Q16665	Q16665	1.0
Q6P1N0:24_44	Q6P1N0_1	100.0	21.0	0	0	1	21	10	30	1.82e-09	43.1	21.0	50.0	Q6P1N0	Q6P1N0	1.0
Q6ZS27:93_110	Q6ZS27_1	100.0	17.0	0	0	2	18	1	17	3.41e-07	35.8	18.0	38.0	Q6ZS27	Q6ZS27	0.9444444444444444
Q8IUM7:689_706	Q8IUM7_1	100.0	18.0	0	0	1	18	12	29	2.49e-09	42.2	18.0	125.0	Q8IUM7	Q8IUM7	1.0
Q8IUM7:743_758	Q8IUM7_1	100.0	16.0	0	0	1	16	66	81	7.99e-07	34.6	16.0	125.0	Q8IUM7	Q8IUM7	1.0
Q8IUX7:694_709	Q8IUX7_2	100.0	16.0	0	0	1	16	32	47	8.06e-07	34.6	16.0	53.0	Q8IUX7	Q8IUX7	1.0
Q8IWI9:2920_2942	Q8IWI9_4	100.0	23.0	0	0	1	23	133	155	1.55e-10	46.4	23.0	155.0	Q8IWI9	Q8IWI9	1.0
Q8TCN5:361_378	Q8TCN5_1	100.0	18.0	0	0	1	18	21	38	1.01e-07	37.5	18.0	46.0	Q8TCN5	Q8TCN5	1.0
Q8TEK3:141_162	Q8TEK3_1	100.0	22.0	0	0	1	22	20	41	1.23e-10	46.4	22.0	51.0	Q8TEK3	Q8TEK3	1.0
Q8WTR7:97_112	Q8WTR7_1	100.0	16.0	0	0	1	16	97	112	1.5e-07	36.7	16.0	152.0	Q8WTR7	Q8WTR7	1.0
Q96BR9:366_383	Q96BR9_1	100.0	18.0	0	0	1	18	1	18	3.05e-08	38.8	18.0	44.0	Q96BR9	Q96BR9	1.0
Q99607:95_115	Q99607_1	100.0	21.0	0	0	1	21	94	114	4.5e-10	44.8	21.0	117.0	Q99607	Q99607	1.0
Q99814:491_510	Q99814_2	100.0	20.0	0	0	1	20	6	25	2.71e-09	42.2	20.0	76.0	Q99814	Q99814	1.0
Q99941:76_91	Q99941_1	100.0	16.0	0	0	1	16	70	85	3e-07	35.8	16.0	85.0	Q99941	Q99941	1.0
Q9HAP2:268_283	Q9HAP2_1	100.0	16.0	0	0	1	16	33	48	3.38e-06	32.9	16.0	51.0	Q9HAP2	Q9HAP2	1.0
Q9NP62:1_20	Q9NP62_1	100.0	19.0	0	0	2	20	1	19	8.11e-08	38.0	20.0	39.0	Q9NP62	Q9NP62	0.95
Q9UIF9:321_335	Q9UIF9_1	100.0	15.0	0	0	1	15	66	80	5.33e-06	32.0	15.0	157.0	Q9UIF9	Q9UIF9	1.0
Q9UIF9:381_395	Q9UIF9_1	100.0	15.0	0	0	1	15	126	140	1.14e-05	31.2	15.0	157.0	Q9UIF9	Q9UIF9	1.0
Q9ULD9:583_604	Q9ULD9_1	100.0	22.0	0	0	1	22	13	34	1.62e-10	45.6	22.0	38.0	Q9ULD9	Q9ULD9	1.0
Q9Y222:349_366	Q9Y222_1	100.0	18.0	0	0	1	18	18	35	1.41e-07	37.1	18.0	49.0	Q9Y222	Q9Y222	1.0
Q9Y2K1:494_509	Q9Y2K1_1	100.0	16.0	0	0	1	16	21	36	4.29e-07	35.4	16.0	41.0	Q9Y2K1	Q9Y2K1	1.0
Q9Y2N7:475_490	Q9Y2N7_1	100.0	16.0	0	0	1	16	32	47	1.33e-05	31.2	16.0	70.0	Q9Y2N7	Q9Y2N7	1.0
Q9Y4A8:383_401	Q9Y4A8_1	100.0	19.0	0	0	1	19	17	35	3.67e-08	38.8	19.0	69.0	Q9Y4A8	Q9Y4A8	1.0
Q9Y6Q9:796_812	Q9Y6Q9_1	100.0	17.0	0	0	1	17	10	26	1.58e-06	33.7	17.0	40.0	Q9Y6Q9	Q9Y6Q9	1.0
