qseqid	sseqid	pident	length	mismatch	gapopen	qstart	qend	sstart	send	evalue	bitscore	qlen	slen	qprot	sprot
P20393_1	P20393_2	100.0	77	0	0	1	77	42	118	1.5e-39	145.0	236	118	P20393	P20393
P20393_1	P20393_2	33.333	27	15	2	138	161	39	65	310.0	15.1	236	118	P20393	P20393
P20823_1	P20823_1	100.0	38	0	0	1	38	1	38	5.79e-19	74.0	38	351	P20823	P20823
P20823_1	P20823_1	57.143	7	3	0	21	27	110	116	567.0	11.7	38	351	P20823	P20823
P20823_1	P20823_1	38.889	18	11	0	21	38	269	286	729.0	11.2	38	351	P20823	P20823
P20823_2	P20823_1	100.0	67	0	0	1	67	160	226	3.23e-39	137.0	67	351	P20823	P20823
P20823_3	P20823_1	100.0	83	0	0	1	83	266	348	3.4299999999999996e-48	165.0	83	351	P20823	P20823
P28069_1	P28069_1	100.0	30	0	0	8	37	1	30	1.69e-15	63.4	37	73	P28069	P28069
P28324_1	P28324_1	100.0	51	0	0	1	51	3	53	1.21e-28	99.5	51	53	P28324	P28324
P32243_1	P32243_1	100.0	48	0	0	12	59	1	48	1.01e-28	99.9	59	48	P32243	P32243
P32519_1	P32519_1	100.0	86	0	0	1	86	1	86	3.1699999999999995e-54	174.0	87	86	P32519	P32519
P35713_1	P35713_1	100.0	66	0	0	1	66	1	66	4.49e-34	119.0	66	96	P35713	P35713
P35716_1	P35716_1	100.0	33	0	0	1	33	92	124	3.39e-20	76.6	33	124	P35716	P35716
P36956_1	P36956_1	100.0	60	0	0	1	60	1	60	2.74e-35	121.0	60	92	P36956	P36956
P40763_1	P40763_1	100.0	46	0	0	1	46	11	56	6.03e-27	95.2	46	62	P40763	P40763
P41161_1	P41161_1	100.0	31	0	0	1	31	38	68	5.83e-15	60.9	31	72	P41161	P41161
P41161_1	P41161_2	53.846	13	4	1	6	18	49	59	82.0	13.8	31	161	P41161	P41161
P41161_1	P41161_2	75.0	4	1	0	26	29	70	73	695.0	10.8	31	161	P41161	P41161
P42224_1	P42224_1	100.0	40	0	0	2	41	1	40	5.22e-24	84.6	41	40	P42224	P42224
P42229_1	P42229_1	100.0	73	0	0	1	73	25	97	1.88e-46	153.0	73	97	P42229	P42229
P43268_1	P43268_1	100.0	32	0	0	7	38	1	32	1.33e-16	64.3	42	32	P43268	P43268
P48431_1	P48431_1	100.0	114	0	0	1	114	87	200	1.76e-70	232.0	114	200	P48431	P48431
P48436_1	P48436_1	100.0	84	0	0	1	84	1	84	2.01e-53	172.0	84	84	P48436	P48436
P48436_2	P48436_2	100.0	116	0	0	1	116	4	119	6.190000000000001e-75	237.0	116	119	P48436	P48436
P49715_1	P49715_2	100.0	17	0	0	1	17	56	72	0.001	26.1	17	73	P49715	P49715
P50549_1	P50549_1	100.0	32	0	0	1	32	38	69	8.32e-17	66.8	32	182	P50549	P50549
P52630_1	P52630_1	100.0	83	0	0	1	83	70	152	1.73e-53	178.0	83	152	P52630	P52630
P52630_1	P52630_1	40.0	20	12	0	18	37	29	48	57.0	15.9	83	152	P52630	P52630
P52945_1	P52945_1	100.0	79	0	0	1	79	1	79	1.72e-47	161.0	79	148	P52945	P52945
P53539_1	P53539_2	100.0	113	0	0	1	113	1	113	1.02e-70	225.0	113	113	P53539	P53539
P53539_1	P53539_1	40.0	35	16	2	43	73	63	96	5.5	19.7	113	111	P53539	P53539
P54845_1	P54845_1	100.0	35	0	0	11	45	1	35	9.89e-19	72.3	64	35	P54845	P54845
P56693_1	P56693_2	100.0	83	0	0	1	83	1	83	1.75e-54	174.0	83	83	P56693	P56693
P56693_2	P56693_3	100.0	114	0	0	1	114	1	114	1.79e-72	230.0	114	114	P56693	P56693
P57073_1	P57073_1	100.0	75	0	0	1	75	1	75	7.58e-49	158.0	75	75	P57073	P57073
P57073_2	P57073_2	100.0	112	0	0	1	112	1	112	2.07e-70	224.0	112	112	P57073	P57073
P78545_1	P78545_1	100.0	31	0	0	1	31	1	31	3.09e-17	64.3	31	31	P78545	P78545
P98168_1	P98168_1	100.0	127	0	0	1	127	1	127	1.28e-78	249.0	128	127	P98168	P98168
Q00613_1	Q00613_2	100.0	91	0	0	69	159	1	91	2.21e-55	185.0	159	91	Q00613	Q00613
Q00613_1	Q00613_1	100.0	61	0	0	1	61	1	61	1.56e-34	123.0	159	61	Q00613	Q00613
Q01094_1	Q01094_1	100.0	59	0	0	12	70	1	59	3.12e-34	117.0	70	59	Q01094	Q01094
Q01860_1	Q01860_1	100.0	137	0	0	1	137	1	137	1.14e-85	270.0	137	138	Q01860	Q01860
Q01860_2	Q01860_2	100.0	71	0	0	1	71	1	71	8.36e-43	141.0	71	71	Q01860	Q01860
Q01892_1	Q01892_1	100.0	31	0	0	1	31	1	31	4.12e-18	66.8	31	31	Q01892	Q01892
Q01892_2	Q01892_2	100.0	21	0	0	1	21	1	21	3.77e-10	43.5	21	21	Q01892	Q01892
Q02447_1	Q02447_1	100.0	100	0	0	1	100	138	237	1.54e-58	198.0	100	253	Q02447	Q02447
Q02447_2	Q02447_2	100.0	150	0	0	1	150	98	247	2.63e-87	286.0	150	248	Q02447	Q02447
Q02447_2	Q02447_1	30.645	62	31	3	77	138	135	184	39.0	17.6	150	253	Q02447	Q02447
Q02447_2	Q02447_1	46.154	26	8	1	105	130	132	151	156.0	15.5	150	253	Q02447	Q02447
Q02548_1	Q02548_1	100.0	55	0	0	1	55	1	55	7.52e-33	111.0	55	55	Q02548	Q02548
Q02962_1	Q02962_1	100.0	95	0	0	1	95	82	176	1.1600000000000001e-57	194.0	95	220	Q02962	Q02962
Q02962_1	Q02962_1	60.0	10	4	0	10	19	172	181	655.0	12.9	95	220	Q02962	Q02962
Q03164_1	Q03164_1	100.0	52	0	0	1	52	4	55	9.960000000000001e-29	103.0	84	55	Q03164	Q03164
Q03933_1	Q03933_2	100.0	65	0	0	1	65	1	65	3.1400000000000003e-37	125.0	65	65	Q03933	Q03933
Q04206_2	Q04206_1	100.0	9	0	0	54	62	1	9	0.4	22.3	62	52	Q04206	Q04206
Q04206_3	Q04206_2	100.0	32	0	0	1	32	1	32	1.78e-16	62.6	32	32	Q04206	Q04206
Q12772_1	Q12772_1	100.0	50	0	0	1	50	1	50	3.41e-28	101.0	50	94	Q12772	Q12772
Q12837_1	Q12837_1	100.0	140	0	0	8	147	1	140	2.12e-88	279.0	147	140	Q12837	Q12837
Q12948_1	Q12948_1	100.0	30	0	0	1	30	1	30	2.23e-15	61.7	51	30	Q12948	Q12948
Q12948_2	Q12948_2	100.0	88	0	0	1	88	32	119	8.78e-58	188.0	88	119	Q12948	Q12948
Q13469_1	Q13469_1	100.0	96	0	0	1	96	1	96	5.02e-59	194.0	96	142	Q13469	Q13469
Q13469_2	Q13469_1	100.0	24	0	0	1	24	119	142	4.32e-11	54.5	81	142	Q13469	Q13469
Q13485_1	Q13485_2	100.0	21	0	0	28	48	1	21	2.94e-17	70.6	48	251	Q13485	Q13485
Q14209_1	Q14209_1	100.0	57	0	0	23	79	1	57	1.16e-32	113.0	79	57	Q14209	Q14209
Q14765_1	Q14765_1	100.0	47	0	0	1	47	5	51	2.2600000000000003e-27	95.2	47	51	Q14765	Q14765
Q15329_1	Q15329_1	100.0	60	0	0	1	60	66	125	3.58e-36	126.0	60	125	Q15329	Q15329
Q15596_1	Q15596_1	100.0	122	0	0	1	122	1	122	2.3300000000000002e-79	250.0	122	122	Q15596	Q15596
Q15596_2	Q15596_2	100.0	177	0	0	1	177	1	177	1.73e-117	364.0	177	177	Q15596	Q15596
Q15672_1	Q15672_1	100.0	30	0	0	2	31	1	30	5.25e-17	64.7	31	41	Q15672	Q15672
Q15699_1	Q15699_1	100.0	45	0	0	46	90	1	45	1.69e-26	98.2	135	45	Q15699	Q15699
Q16254_1	Q16254_1	100.0	54	0	0	24	77	1	54	6.11e-32	111.0	77	54	Q16254	Q16254
Q16621_1	Q16621_1	100.0	83	0	0	1	83	1	83	1.6e-50	173.0	206	83	Q16621	Q16621
Q16621_1	Q16621_2	100.0	31	0	0	176	206	1	31	1.28e-14	63.0	206	34	Q16621	Q16621
Q16656_1	Q16656_1	100.0	173	0	0	4	176	1	173	1.84e-106	334.0	176	174	Q16656	Q16656
Q16665_1	Q16665_1	100.0	45	0	0	1	45	1	45	2.68e-26	91.4	45	45	Q16665	Q16665
Q16665_2	Q16665_2	100.0	41	0	0	11	51	1	41	9.899999999999999e-24	85.0	51	41	Q16665	Q16665
Q2QGD7_1	Q2QGD7_1	100.0	110	0	0	1	110	1	110	6.61e-70	222.0	110	110	Q2QGD7	Q2QGD7
Q5BKZ1_1	Q5BKZ1_1	100.0	124	0	0	1	124	1	124	1.97e-73	234.0	124	124	Q5BKZ1	Q5BKZ1
Q6DJT9_1	Q6DJT9_1	100.0	82	0	0	1	82	1	82	1.78e-49	164.0	82	116	Q6DJT9	Q6DJT9
Q8TE85_1	Q8TE85_2	100.0	61	0	0	1	61	6	66	8.31e-39	129.0	66	66	Q8TE85	Q8TE85
Q8WYP5_1	Q8WYP5_1	100.0	253	0	0	1	253	2	254	1.6899999999999998e-172	528.0	253	254	Q8WYP5	Q8WYP5
Q92570_1	Q92570_1	100.0	108	0	0	1	108	1	108	8.43e-72	226.0	108	110	Q92570	Q92570
Q96BA8_1	Q96BA8_1	100.0	60	0	0	1	60	1	60	4.51e-34	115.0	60	60	Q96BA8	Q96BA8
Q96N77_1	Q96N77_1	100.0	92	0	0	1	92	1	92	3.89e-58	187.0	95	92	Q96N77	Q96N77
Q99594_1	Q99594_1	100.0	263	0	0	1	263	63	325	0.0	570.0	263	325	Q99594	Q99594
Q99814_1	Q99814_1	100.0	47	0	0	1	47	16	62	1.3700000000000001e-27	100.0	47	159	Q99814	Q99814
Q99814_2	Q99814_2	100.0	41	0	0	1	41	3	43	8.58e-24	84.2	41	43	Q99814	Q99814
Q9BZE0_1	Q9BZE0_1	100.0	67	0	0	1	67	42	108	9.88e-37	127.0	67	108	Q9BZE0	Q9BZE0
Q9H9S0_1	Q9H9S0_1	100.0	45	0	0	1	45	42	86	1.36e-22	85.5	45	151	Q9H9S0	Q9H9S0
Q9H9S0_2	Q9H9S0_1	100.0	65	0	0	1	65	87	151	3.25e-41	141.0	65	151	Q9H9S0	Q9H9S0
Q9HAP2_1	Q9HAP2_1	100.0	124	0	0	1	124	1	124	4.95e-77	244.0	124	124	Q9HAP2	Q9HAP2
Q9UBX2_1	Q9UBX2_1	100.0	98	0	0	1	98	2	99	7.389999999999999e-55	179.0	98	99	Q9UBX2	Q9UBX2
Q9ULX6_1	Q9ULX6_1	100.0	268	0	0	1	268	1	268	1.13e-178	560.0	268	384	Q9ULX6	Q9ULX6
Q9Y222_2	Q9Y222_2	100.0	302	0	0	1	302	2	303	0.0	616.0	302	303	Q9Y222	Q9Y222
Q9Y261_1	Q9Y261_1	100.0	39	0	0	1	39	14	52	2.27e-19	77.0	80	52	Q9Y261	Q9Y261
Q9Y261_2	Q9Y261_2	100.0	97	0	0	1	97	1	97	3.49e-64	203.0	97	97	Q9Y261	Q9Y261
Q9Y2N7_1	Q9Y2N7_1	100.0	31	0	0	23	53	1	31	1.67e-15	62.6	53	35	Q9Y2N7	Q9Y2N7
